AN,TAB,one,two,Cluster,Cluster Number,Number of Items,Top Cluster Terms
1017,"Demographic and clinical factors associated with nonsurgical osteoarthritis treatment among patients in outpatient clinics OBJECTIVE: To identify patient demographic and clinical characteristics associated with osteoarthritis (OA) treatment use. METHODS: This was a secondary data analysis of 3 clinical trials among patients with hip or knee OA conducted in Duke Primary Care practices, the Durham Veterans Affairs (VA) Health Care System, and the University of North Carolina-Chapel Hill (UNC). At baseline, participants reported sociodemographic characteristics, OA-related pain and function, and OA treatment use, including oral analgesics, topical creams, joint injections, and physical therapy. Separate, multivariable logistic models (adjusted for clustering of clinics and providers for the Duke and VA cohorts) were used to estimate odds ratios (ORs) and 95% confidence intervals (95% CIs) for the associations between participant characteristics and each type of OA treatment. RESULTS: Oral analgesic use was reported by 70-82% of participants across the 3 cohorts. Physical therapy, knee injections, and topical creams were used by 39-52%, 55-60%, and 25-39% of Duke, VA, and UNC participants, respectively. In multivariable models, worse pain, stiffness, and function, per 5-unit increase, were associated with greater odds of using any oral analgesic for the cohorts from Duke (OR 1.18 [95% CI 1.08-1.28]) and UNC (OR 1.14 [95% CI 1.05-1.24]), but not for the VA cohort (OR 1.04 [95% CI 0.95-1.14]). For all 3 cohorts, nonwhites had higher odds of using topical creams compared to whites. CONCLUSION: Results suggest potential underutilization of therapies other than oral analgesics. Patient characteristics may affect OA treatment use, and understanding the relationship between these factors and OA treatment preferences may improve adherence to OA treatment guidelines. _ 2017, American College of Rheumatology.",,,9,,,
1018,Weight change in osteoarthritis ,,,9,,,
1019,"Sleep timing, stability, and BP in the sue_o_ancillary study of the hispanic community health study/study of latinos BACKGROUND: Timing and stability of the sleep-wake cycle are potential modifiable risk factors for cardiometabolic disease. The aim of this study was to evaluate the relationship between objective measures of sleep-wake timing and stability with cardiometabolic disease risk. METHODS: In this multicenter, cross-sectional, population-based study, actigraphy data were obtained from the 2,156 adults, aged 18 to 64 years, recruited from the Sue_o ancillary study of the Hispanic Community Health Study/Study of Latinos (2010-2013). These data were correlated with measures of cardiometabolic disease risk, including systolic and diastolic BPs, homeostatic assessment of insulin resistance, glycosylated hemoglobin, BMI, and hypertension and diabetes status. RESULTS: Each 10%_decrease in interdaily stability was associated with a 3.0%_absolute increase in the prevalence of hypertension (95%_CI, 0.6-5.3; P_< .05), an increase in systolic BP by 0.78_mm_Hg (95%_CI, 0.12-1.45; P_< .05) and an increase in diastolic BP by 0.80_mm_Hg (95%_CI, 0.28-1.32; P_< .05). In addition, delaying the midpoint of sleep by 1_h was associated with an increase in systolic BP by 0.73_mm_Hg (95%_CI, 0.30-1.16; P_< .01) and diastolic BP by 0.53_mm_Hg (95%_CI, 0.17-0.90; P_< .01). These associations were not significant after adjusting for shift work status. No association was found between interdaily stability or sleep timing and diabetes, BMI, or insulin resistance. CONCLUSIONS: These results suggest that beyond sleep duration, the timing and regularity of sleep-wake schedules are related to hypertension prevalence and BP. Copyright _ 2018 American College of Chest Physicians. Published by Elsevier Inc. All rights reserved.",,,1,,,
1020,"Masked hypertension and incident clinic hypertension among blacks in the jackson heart study Masked hypertension, defined as nonelevated clinic blood pressure (BP) and elevated out-of-clinic BP may be an intermediary stage in the progression from normotension to hypertension. We examined the associations of out-of-clinic BP and masked hypertension using ambulatory BP monitoring with incident clinic hypertension in the Jackson Heart Study, a prospective cohort of blacks. Analyses included 317 participants with clinic BP < 140/90 mm__g, complete ambulatory BP monitoring, who were not taking antihypertensive medication at baseline in 2000 to 2004. Masked daytime hypertension was defined as mean daytime blood pressure _135/85 mm__g, masked night-time hypertension as mean night-time BP _120/70 mm__g, and masked 24-hour hypertension as mean 24-hour BP _130/80 mm__g. Incident clinic hypertension, assessed at study visits in 2005 to 2008 and 2009 to 2012, was defined as the first visit with clinic systolic/diastolic BP _140/90 mm__g or antihypertensive medication use. During a median follow-up of 8.1 years, there were 187 (59.0%) incident cases of clinic hypertension. Clinic hypertension developed in 79.2% and 42.2% of participants with and without any masked hypertension, 85.7% and 50.4% with and without masked daytime hypertension, 79.9% and 43.7% with and without masked night-time hypertension, and 85.7% and 48.2% with and without masked 24-hour hypertension, respectively. Multivariable-adjusted hazard ratios (95% confidence interval) of incident clinic hypertension for any masked hypertension and masked daytime, night-time, and 24-hour hypertension were 2.13 (1.51-3.02), 1.79 (1.24-2.60), 2.22 (1.58-3.12), and 1.91 (1.32-2.75), respectively. These findings suggest that ambulatory BP monitoring can identify blacks at increased risk for developing clinic hypertension. _ 2016 American Heart Association, Inc.",,,9,,,
1021,"Associations of blood pressure dipping patterns with left ventricular mass and left ventricular hypertrophy in blacks: the jackson heart study BACKGROUND: Abnormal diurnal blood pressure (BP), including nondipping patterns, assessed using ambulatory BP monitoring, have been associated with increased cardiovascular risk among white and Asian adults. We examined the associations of BP dipping patterns (dipping, nondipping, and reverse dipping) with cardiovascular target organ damage (left ventricular mass index and left ventricular hypertrophy), among participants from the Jackson Heart Study, an exclusively black population-based cohort. METHODS AND RESULTS: Analyses included 1015 participants who completed ambulatory BP monitoring and had echocardiography data from the baseline visit. Participants were categorized based on the nighttime to daytime systolic BP ratio into 3 patterns: dipping pattern (_0.90), nondipping pattern (>0.90 to _1.00), and reverse dipping pattern (>1.00). The prevalence of dipping, nondipping, and reverse dipping patterns was 33.6%, 48.2%, and 18.2%, respectively. In a fully adjusted model, which included antihypertensive medication use and clinic and daytime systolic BP, the mean differences in left ventricular mass index between reverse dipping pattern versus dipping pattern was 8.3_2.1_g/m2 (P< 0.001) and between nondipping pattern versus dipping pattern was -1.0_1.6_g/m2 (P=0.536). Compared with participants with a dipping pattern, the prevalence ratio for having left ventricular hypertrophy was 1.65 (95% CI, 1.05-2.58) and 0.96 (95% CI, 0.63-1.97) for those with a reverse dipping pattern and nondipping pattern, respectively. CONCLUSIONS: In this population-based study of blacks, a reverse dipping pattern was associated with increased left ventricular mass index and a higher prevalence of left ventricular hypertrophy. Identification of a reverse dipping pattern on ambulatory BP monitoring may help identify black at increased risk for cardiovascular target organ damage. _ 2017 The Authors. Published on behalf of the American Heart Association, Inc., by Wiley.",,,3,,,
1022,"Developmental trajectories of postpartum weight 3 years after birth: Norwegian Mother And Child Cohort study This study explored the developmental trajectories of postpartum weight from 0.5 to 3_years after childbirth, and aimed to determine the associations between postpartum weight trajectories and prepregnancy body mass index and adequacy of gestational weight gain (GWG). Data from the Norwegian Mother and Child Cohort study were used, following 49,528 mothers 0.5, 1.5, and 3_years after childbirth. Analyses were performed using latent growth mixture modeling. Three groups of developmental trajectories of postpartum weight were found, with most women (85.9_%) having a low level of weight retention initially and slight gain over 3_years, whereas 5.6_% of women started at a high postpartum weight retention (on average 7.56_kg) at 0.5_years but followed by a marked weight loss over time (2.63_kg per year on average), and the third trajectory represented women (8.5_%) who had high weight retention high initially (on average 4.67_kg at 0.5_years) and increasing weight over time (1.43_kg per year on average). Prepregnancy overweight and obesity and excessive GWG significantly predicted a high postpartum weight trend. Women had substantial variability in postpartum weight development-both initially after birth and in their weight trajectories over time. Early preventive interventions may be designed to assist women with prepregnancy overweight and obesity and excessive GWG, which helps to reduce the increasing trend for postpartum weight.",,,6,,,
1023,"Chitosan coagulation to improve microbial and turbidity removal by ceramic water filtration for household drinking water treatment The use of porous ceramic filters is promoted globally for household water treatment, but these filters are ineffective in removing viruses from water. In order to increase virus removal, we combine a promising natural coagulant, chitosan, as a pretreatment for ceramic water filters (CWFs) and evaluate the performance of this dual barrier water treatment system. Chitosan is a non-toxic and biodegradable organic polymer derived by simple chemical treatments from chitin, a major source of which is the leftover shells of crustacean seafoods, such as shrimp, prawns, crabs, and lobsters. To determine the effectiveness of chitosan, model test water was contaminated with Escherichia coli K011 and coliphage MS2 as a model enteric bacterium and virus, respectively. Kaolinite clay was used to model turbidity. Coagulation effectiveness of three types of modified chitosans was determine at various doses ranging from 5 to 30 mg/L, followed by flocculation and sedimentation. The pre-treated supernatant water was then decanted into the CWF for further treatment by filtration. There were appreciable microbial removals by chitosan HCl, acetate, and lactate pretreatment followed by CWF treatment, with mean reductions (95% CI) between 4.7 (_ 1.56) and 7.5 (_ 0.02) log10 for Escherichia coli, and between 2.8 (_ 0.10) and 4.5 (_ 1.04) log10 for MS2. Turbidity reduction with chitosan treatment and filtration consistently resulted in turbidities < 1 NTU, which meet turbidity standards of the US EPA and guidance by the World Health Organization (WHO). According to WHO health-based microbial removal targets for household water treatment technology, chitosan coagulation achieved health protective targets for both viruses and bacteria. Therefore, the results of this study support the use of chitosan to improve household drinking water filtration processes by increasing virus and bacteria reductions.",,,5,,,
1024,"Mapping and characterization of structural variation in 17,795 human genomes A key goal of whole-genome sequencing for studies of human genetics is to interrogate all forms of variation, including single-nucleotide variants, small insertion or deletion (indel) variants and structural variants. However, tools and resources for the study of structural variants have lagged behind those for smaller variants. Here we used a scalable pipeline1 to map and characterize structural variants in 17,795 deeply sequenced human genomes. We publicly release site-frequency data to create the largest, to our knowledge, whole-genome-sequencing-based structural variant resource so far. On average, individuals carry 2.9 rare structural variants that alter coding regions; these variants affect the dosage or structure of 4.2 genes and account for 4.0-11.2% of rare high-impact coding alleles. Using a computational model, we estimate that structural variants account for 17.2% of rare alleles genome-wide, with predicted deleterious effects that are equivalent to loss-of-function coding alleles; approximately 90% of such structural variants are noncoding deletions (mean 19.1 per genome). We report 158,991 ultra-rare structural variants and show that 2% of individuals carry ultra-rare megabase-scale structural variants, nearly half of which are balanced or complex rearrangements. Finally, we infer the dosage sensitivity of genes and noncoding elements, and reveal trends that relate to element class and conservation. This work will help to guide the analysis and interpretation of structural variants in the era of whole-genome sequencing.",,,8,,,
1025,"Diversity in the US infectious diseases workforce: challenges for women and underrepresented minorities Research documents significant gender-based salary inequities among physicians and ongoing inadequacies in recruitment and promotion of physicians from underrepresented minority groups. Given the complexity of the social forces that promote these disparities, their elimination will likely require quantitative and qualitative research to understand the pathways that lead to them and to develop effective solutions. Interventions to combat implicit bias will be required, and structural interventions that hold medical school leadership accountable are needed to achieve and maintain salary equity and racial and gender diversity at all levels. _ The Author 2017. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.",,,5,,,
1026,"A strategy to advance the evidence base in palliative medicine: formation of a palliative care research cooperative group BACKGROUND: Palliative medicine has made rapid progress in establishing its scientific and clinical legitimacy, yet the evidence base to support clinical practice remains deficient in both the quantity and quality of published studies. Historically, the conduct of research in palliative care populations has been impeded by multiple barriers including health care system fragmentation, small number and size of potential sites for recruitment, vulnerability of the population, perceptions of inappropriateness, ethical concerns, and gate-keeping. METHODS: A group of experienced investigators with backgrounds in palliative care research convened to consider developing a research cooperative group as a mechanism for generating high-quality evidence on prioritized, clinically relevant topics in palliative care. RESULTS: The resulting Palliative Care Research Cooperative (PCRC) agreed on a set of core principles: active, interdisciplinary membership; commitment to shared research purposes; heterogeneity of participating sites; development of research capacity in participating sites; standardization of methodologies, such as consenting and data collection/management; agile response to research requests from government, industry, and investigators; focus on translation; education and training of future palliative care researchers; actionable results that can inform clinical practice and policy. Consensus was achieved on a first collaborative study, a randomized clinical trial of statin discontinuation versus continuation in patients with a prognosis of less than 6 months who are taking statins for primary or secondary prevention. This article describes the formation of the PCRC, highlighting processes and decisions taken to optimize the cooperative group's success.",,,6,,,
1027,"Improving global health education: development of a Global Health Competency Model Although global health is a recommended content area for the future of education in public health, no standardized global health competency model existed for master-level public health students. Without such a competency model, academic institutions are challenged to ensure that students are able to demonstrate the knowledge, skills, and attitudes (KSAs) needed for successful performance in today's global health workforce. The Association of Schools of Public Health (ASPH) sought to address this need by facilitating the development of a global health competency model through a multistage modified-Delphi process. Practitioners and academic global health experts provided leadership and guidance throughout the competency development process. The resulting product, the Global Health Competency Model 1.1, includes seven domains and 36 competencies. The Global Health Competency Model 1.1 provides a platform for engaging educators, students, and global health employers in discussion of the KSAs needed to improve human health on a global scale.",,,2,,,
1028,"Hope matters: developing and validating a measure of future expectations among young women in a high HIV prevalence setting in rural south africa (HPTN 068) Hope is a future expectancy characterized by an individual's perception that a desirable future outcome can be achieved. Though scales exist to measure hope, they may have limited relevance in low resource, high HIV prevalence settings. We developed and validated a hope scale among young women living in rural South Africa. We conducted formative interviews to identify the key elements of hope. Using items developed from these interviews, we administered the hope scale to 2533 young women enrolled in an HIV-prevention trial. Women endorsed scale items highly and the scale proved to be unidimensional in the sample. Hope scores were significantly correlated with hypothesized psycholosocial correlates with the exception of life stressors. Overall, our hope measure was found to have excellent reliability and to show encouraging preliminary indications of validity in this population. This study presents a promising measure to assess hope among young women in South Africa.",,,6,,,
1029,"End-stage renal disease among HIV-infected adults in North America BACKGROUND: Human immunodeficiency virus (HIV)-infected adults, particularly those of black race, are at high-risk for end-stage renal disease (ESRD), but contributing factors are evolving. We hypothesized that improvements in HIV treatment have led to declines in risk of ESRD, particularly among HIV-infected blacks. METHODS: Using data from the North American AIDS Cohort Collaboration for Research and Design from January 2000 to December 2009, we validated 286 incident ESRD cases using abstracted medical evidence of dialysis (lasting >6 months) or renal transplant. A total of 38 354 HIV-infected adults aged 18-80 years contributed 159 825 person-years (PYs). Age- and sex-standardized incidence ratios (SIRs) were estimated by race. Poisson regression was used to identify predictors of ESRD. RESULTS: HIV-infected ESRD cases were more likely to be of black race, have diabetes mellitus or hypertension, inject drugs, and/or have a prior AIDS-defining illness. The overall SIR was 3.2 (95% confidence interval [CI], 2.8-3.6) but was significantly higher among black patients (4.5 [95% CI, 3.9-5.2]). ESRD incidence declined from 532 to 303 per 100 000 PYs and 138 to 34 per 100 000 PYs over the time period for blacks and nonblacks, respectively, coincident with notable increases in both the prevalence of viral suppression and the prevalence of ESRD risk factors including diabetes mellitus, hypertension, and hepatitis C virus coinfection. CONCLUSIONS: The risk of ESRD remains high among HIV-infected individuals in care but is declining with improvements in virologic suppression. HIV-infected black persons continue to comprise the majority of cases, as a result of higher viral loads, comorbidities, and genetic susceptibility. _ The Author 2014. Published by Oxford University Press on behalf of the Infectious Diseases Society of America. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.",,,5,,,
1030,The health belief model ,,,2,,,
1031,"Extending social cognition models of health behaviour A cross-sectional study assessed the extent to which indices of social structure, including family socio-economic status (SES), social deprivation, gender and educational/lifestyle aspirations correlated with adolescent condom use and added to the predictive utility of a theory of planned behaviour model. Analyses of survey data from 824 sexually active 16-year-olds (505 women and 319 men) tested three hypotheses. Firstly, social structure measures will correlate with behaviour-specific cognitions that predict condom use. Secondly, cognition measures will not fully mediate the effects of social structural indices and thirdly, the effects of cognitions on condom use will be moderated by social structure indices. All three hypotheses were supported. SES, gender and aspirations accounted for between 2 and 7% of the variance in behaviour-specific cognitions predicting condom use. Aspirations explained a further 4% of the variance in condom use, controlling for cognition effects. Mother's SES and gender added an additional 5%, controlling for aspirations. Overall, including significant moderation effects, of social structure indices increased the variance explained from 20.5% (for cognition measures alone) to 31%. These data indicate that social structure measures should to be investigated in addition to cognitions when modelling antecedents of behaviour, including condom use.",,,2,,,
1032,"The replication-competent HIV-1 latent reservoir is primarily established near the time of therapy initiation Although antiretroviral therapy (ART) is highly effective at suppressing HIV-1 replication, the virus persists as a latent reservoir in resting CD4+ T cells during therapy. This reservoir forms even when ART is initiated early after infection, but the dynamics of its formation are largely unknown. The viral reservoirs of individuals who initiate ART during chronic infection are generally larger and genetically more diverse than those of individuals who initiate therapy during acute infection, consistent with the hypothesis that the reservoir is formed continuously throughout untreated infection. To determine when viruses enter the latent reservoir, we compared sequences of replication-competent viruses from resting peripheral CD4+ T cells from nine HIV-positive women on therapy to viral sequences circulating in blood collected longitudinally before therapy. We found that, on average, 71% of the unique viruses induced from the post-therapy latent reservoir were most genetically similar to viruses replicating just before ART initiation. This proportion is far greater than would be expected if the reservoir formed continuously and was always long lived. We conclude that ART alters the host environment in a way that allows the formation or stabilization of most of the long-lived latent HIV-1 reservoir, which points to new strategies targeted at limiting the formation of the reservoir around the time of therapy initiation. Copyright _ 2019 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works.",,,5,,,
1033,"Patterns and trends in the intake distribution of manufactured and homemade sugar-sweetened beverages in pre-tax Mexico, 1999-2012 OBJECTIVE: To describe trends across the intake distribution of total, manufactured and homemade sugar-sweetened beverages (SSB) from 1999 to 2012, focusing on high SSB consumers and on changes by socio-economic status (SES) subgroup. DESIGN: We analysed data from one 24 h dietary recall from two nationally representative surveys. Quantile regression models at the 50th, 75th and 90th percentiles of energy intake distribution of SSB were used. SETTING: 1999 Mexican National Nutrition Survey and 2012 Mexican National Health and Nutrition Survey.ParticipantsSchool-aged children (5-11 years) and women (20-49 years) for trend analyses (n 7718). Population aged >1 year for 2012 (n 10 096). RESULTS: Over the 1999-2012 period, there were significant increases in the proportion of total and manufactured SSB consumers (5_7 and 10_7 percentage points), along with an increase in per-consumer SSB energy intake, resulting in significant increases in per-capita total SSB energy intake (142, 247 and 397 kJ/d (34, 59 and 95 kcal/d) in school-aged children and 155, 331 and 456 kJ/d (37, 79 and 109 kcal/d) in women at the 50th, 75th and 90th percentile, respectively). Total and manufactured SSB intakes increased sharply among low-SES children but remained similar among high-SES children during this time span. CONCLUSIONS: Large increases in SSB consumption were seen between 1999 and 2012 during this pre-tax SSB period, particularly for the highest consumers. Trends observed in school-aged children are a clear example of the nutrition transition experienced in Mexico. Policies to discourage high intake of manufactured SSB should continue, joined with strategies to encourage water and low-calorie beverage consumption.",,,4,,,
1034,"Healthcare Access and Quality Index based on mortality from causes amenable to personal health care in 195 countries and territories, 1990_2015: a novel analysis from the Global Burden of Disease Study 2015 BACKGROUND: National levels of personal health-care access and quality can be approximated by measuring mortality rates from causes that should not be fatal in the presence of effective medical care (ie, amenable mortality). Previous analyses of mortality amenable to health care only focused on high-income countries and faced several methodological challenges. In the present analysis, we use the highly standardised cause of death and risk factor estimates generated through the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) to improve and expand the quantification of personal health-care access and quality for 195 countries and territories from 1990 to 2015. METHODS: We mapped the most widely used list of causes amenable to personal health care developed by Nolte and McKee to 32 GBD causes. We accounted for variations in cause of death certification and misclassifications through the extensive data standardisation processes and redistribution algorithms developed for GBD. To isolate the effects of personal health-care access and quality, we risk-standardised cause-specific mortality rates for each geography-year by removing the joint effects of local environmental and behavioural risks, and adding back the global levels of risk exposure as estimated for GBD 2015. We employed principal component analysis to create a single, interpretable summary measure-the Healthcare Quality and Access (HAQ) Index-on a scale of 0 to 100. The HAQ Index showed strong convergence validity as compared with other health-system indicators, including health expenditure per capita (r=0_88), an index of 11 universal health coverage interventions (r=0_83), and human resources for health per 1000 (r=0_77). We used free disposal hull analysis with bootstrapping to produce a frontier based on the relationship between the HAQ Index and the Socio-demographic Index (SDI), a measure of overall development consisting of income per capita, average years of education, and total fertility rates. This frontier allowed us to better quantify the maximum levels of personal health-care access and quality achieved across the development spectrum, and pinpoint geographies where gaps between observed and potential levels have narrowed or widened over time. FINDINGS: Between 1990 and 2015, nearly all countries and territories saw their HAQ Index values improve; nonetheless, the difference between the highest and lowest observed HAQ Index was larger in 2015 than in 1990, ranging from 28_6 to 94_6. Of 195 geographies, 167 had statistically significant increases in HAQ Index levels since 1990, with South Korea, Turkey, Peru, China, and the Maldives recording among the largest gains by 2015. Performance on the HAQ Index and individual causes showed distinct patterns by region and level of development, yet substantial heterogeneities emerged for several causes, including cancers in highest-SDI countries; chronic kidney disease, diabetes, diarrhoeal diseases, and lower respiratory infections among middle-SDI countries; and measles and tetanus among lowest-SDI countries. While the global HAQ Index average rose from 40_7 (95% uncertainty interval, 39_0-42_8) in 1990 to 53_7 (52_2-55_4) in 2015, far less progress occurred in narrowing the gap between observed HAQ Index values and maximum levels achieved; at the global level, the difference between the observed and frontier HAQ Index only decreased from 21_2 in 1990 to 20_1 in 2015. If every country and territory had achieved the highest observed HAQ Index by their corresponding level of SDI, the global average would have been 73_8 in 2015. Several countries, particularly in eastern and western sub-Saharan Africa, reached HAQ Index values similar to or beyond their development levels, whereas others, namely in southern sub-Saharan Africa, the Middle East, and south Asia, lagged behind what geographies of similar development attained between 1990 and 2015. INTERPRETATION: This novel extension of the GBD Study shows the untapped potential for personal health-care access and quality improveme t across the development spectrum. Amid substantive advances in personal health care at the national level, heterogeneous patterns for individual causes in given countries or territories suggest that few places have consistently achieved optimal health-care access and quality across health-system functions and therapeutic areas. This is especially evident in middle-SDI countries, many of which have recently undergone or are currently experiencing epidemiological transitions. The HAQ Index, if paired with other measures of health-system characteristics such as intervention coverage, could provide a robust avenue for tracking progress on universal health coverage and identifying local priorities for strengthening personal health-care quality and access throughout the world. FUNDING: Bill & Melinda Gates Foundation. Copyright _ 2017 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license. Published by Elsevier Ltd.. All rights reserved.",,,1,,,
